Player,Team,Pos,G,MP,PTS,AST,ORB,DRB,TRB,STL,BLK,TOV,PF,FG%,3P,3PA,3P%,eFG%,PER,TS%,USG%,OBPM,DBPM,BPM,VORP,Salary,PTS_36,AST_36,DRB_36,ORB_36,STL_36,BLK_36,TOV_36,PF_36,Per36Impact,Impact_Score,Is_Combined_Team_Row,Value,Value_Score,Impact_Rank,Value_Rank
Nikola Jokić,DEN,C,65.0,34.8,27.7,10.7,3.0,9.9,12.9,1.4,0.8,3.7,2.7,0.569,1.7,4.5,0.38,0.618,32.3,0.67,30.4,10.1,4.1,14.2,9.2,55224526.0,28.655172413793107,11.068965517241379,10.241379310344827,3.1034482758620694,1.4482758620689655,0.8275862068965518,3.827586206896552,2.7931034482758625,76.63965517241378,115.7120080086207,False,0.015570853969337998,15.570853969337998,1.0,163.0
Giannis Antetokounmpo,MIL,PF,36.0,28.9,27.6,5.4,2.7,7.1,9.8,0.9,0.7,3.2,2.4,0.624,0.4,1.3,0.333,0.636,32.6,0.658,37.0,7.7,1.8,9.5,3.0,54126450.0,34.38062283737025,6.726643598615918,8.844290657439446,3.363321799307959,1.1211072664359862,0.8719723183391004,3.9861591695501737,2.9896193771626294,75.87404844290658,112.78686797231835,False,0.015330409819560237,15.330409819560238,2.0,169.0
Luka Dončić,LAL,PG,64.0,35.8,33.5,8.3,0.6,7.1,7.7,1.6,0.5,4.0,2.4,0.476,4.0,10.8,0.366,0.563,27.9,0.616,38.1,8.0,1.3,9.3,6.6,45999660.0,33.68715083798883,8.3463687150838,7.139664804469274,0.6033519553072626,1.6089385474860338,0.5027932960893855,4.022346368715084,2.4134078212290504,72.49776536312851,108.01396561675979,False,0.015925849239090982,15.925849239090981,3.0,152.0
Victor Wembanyama,SAS,C,64.0,29.2,25.0,3.1,2.0,9.5,11.5,1.0,3.1,2.4,2.4,0.512,1.9,5.5,0.349,0.569,29.9,0.626,32.4,6.5,4.2,10.7,6.0,13376880.0,30.821917808219176,3.8219178082191783,11.712328767123289,2.4657534246575343,1.2328767123287672,3.8219178082191783,2.958904109589041,2.958904109589041,72.69041095890411,106.2101701150685,False,0.029039470205913298,29.039470205913297,4.0,30.0
Shai Gilgeous-Alexander,OKC,PG,68.0,33.2,31.1,6.6,0.6,3.7,4.3,1.4,0.8,2.2,2.0,0.553,1.7,4.4,0.386,0.597,30.8,0.665,33.4,8.7,3.0,11.7,7.8,38333050.0,33.72289156626506,7.156626506024096,4.0120481927710845,0.6506024096385542,1.5180722891566263,0.8674698795180722,2.385542168674699,2.1686746987951806,69.30542168674698,105.04393655421686,False,0.01696618900977012,16.96618900977012,5.0,139.0
Kawhi Leonard,LAC,SF,65.0,32.1,27.9,3.6,1.1,5.3,6.4,1.9,0.4,2.0,1.2,0.505,2.6,6.8,0.387,0.573,27.9,0.629,33.5,7.4,0.6,8.0,5.3,50000000.0,31.28971962616822,4.037383177570093,5.943925233644859,1.2336448598130842,2.130841121495327,0.4485981308411215,2.2429906542056073,1.3457943925233644,64.1271028037383,92.341079635514,False,0.013059000718471794,13.059000718471793,6.0,212.0
Joel Embiid,PHI,C,38.0,31.6,26.9,3.9,2.0,5.7,7.7,0.6,1.2,2.9,2.2,0.489,1.4,4.2,0.333,0.527,24.7,0.605,33.5,5.1,-0.2,4.9,2.1,55224526.0,30.64556962025316,4.443037974683544,6.493670886075949,2.2784810126582276,0.6835443037974682,1.3670886075949364,3.3037974683544302,2.5063291139240507,63.028481012658226,85.86654843750001,False,0.011554682263156224,11.554682263156224,7.0,255.0
Cade Cunningham,DET,PG,64.0,33.9,23.9,9.9,0.9,4.7,5.5,1.4,0.8,3.7,3.1,0.461,2.0,5.7,0.342,0.513,21.6,0.564,30.5,4.8,1.5,6.3,4.6,46394100.0,25.380530973451325,10.513274336283185,4.991150442477877,0.9557522123893807,1.4867256637168142,0.8495575221238939,3.929203539823009,3.292035398230089,61.15221238938052,82.97666832743361,False,0.012182168884973445,12.182168884973445,8.0,236.0
Stephen Curry,GSW,PG,43.0,30.9,26.6,4.7,0.4,3.2,3.6,1.1,0.4,2.8,1.7,0.468,4.4,11.3,0.393,0.587,22.6,0.637,32.5,6.3,-1.0,5.4,2.5,59606817.0,30.990291262135926,5.475728155339807,3.7281553398058254,0.46601941747572817,1.2815533980582527,0.46601941747572817,3.262135922330097,1.9805825242718447,59.74368932038836,82.30811592233012,False,0.010660920259964537,10.660920259964536,9.0,281.0
Donovan Mitchell,CLE,SG,70.0,33.5,27.9,5.7,0.7,3.8,4.5,1.5,0.3,2.8,2.3,0.483,3.2,8.8,0.364,0.563,22.9,0.613,32.2,5.2,-0.2,5.1,4.2,46394100.0,29.982089552238804,6.125373134328359,4.083582089552238,0.7522388059701491,1.6119402985074627,0.32238805970149254,3.0089552238805966,2.4716417910447763,60.404776119402996,82.06419928477614,False,0.012048205299738868,12.048205299738868,10.0,240.0
Jaylen Brown,BOS,SF,71.0,34.4,28.7,5.1,1.1,5.8,6.9,1.0,0.4,3.6,2.7,0.477,2.0,5.7,0.347,0.522,22.0,0.573,36.2,3.5,-0.1,3.3,3.3,53142264.0,30.034883720930235,5.337209302325581,6.069767441860465,1.1511627906976745,1.0465116279069768,0.4186046511627908,3.7674418604651163,2.825581395348838,60.20581395348839,81.22537507325583,False,0.011142219229032607,11.142219229032607,11.0,269.0
LaMelo Ball,CHO,PG,72.0,28.0,20.1,7.1,0.9,3.9,4.8,1.2,0.2,2.8,2.7,0.407,3.8,10.3,0.368,0.516,19.7,0.546,32.0,4.8,-0.1,4.7,3.4,37958760.0,25.84285714285714,9.128571428571428,5.014285714285714,1.1571428571428573,1.542857142857143,0.2571428571428572,3.5999999999999996,3.4714285714285715,59.37428571428571,79.05349315714284,False,0.012831134474145425,12.831134474145426,12.0,222.0
Anthony Edwards,MIN,SG,61.0,35.0,28.8,3.7,0.6,4.4,5.0,1.4,0.8,2.9,1.9,0.489,3.4,8.4,0.399,0.572,21.8,0.617,31.5,4.7,-0.1,4.5,3.5,45550512.0,29.622857142857143,3.805714285714286,4.525714285714286,0.6171428571428572,1.44,0.8228571428571428,2.9828571428571427,1.9542857142857142,56.88000000000001,76.76008710000002,False,0.011373361082822902,11.373361082822901,13.0,258.0
Tyrese Maxey,PHI,PG,70.0,38.0,28.3,6.6,0.3,3.8,4.1,1.9,0.8,2.4,2.2,0.462,3.1,8.6,0.367,0.536,21.9,0.588,29.4,5.0,0.5,5.4,4.9,37958760.0,26.810526315789474,6.252631578947367,3.5999999999999996,0.28421052631578947,1.7999999999999998,0.7578947368421053,2.2736842105263158,2.0842105263157897,56.472631578947365,75.89111098105262,False,0.012317849743268381,12.317849743268381,14.0,233.0
Jalen Johnson,ATL,SF,72.0,35.2,22.5,7.9,1.4,8.9,10.3,1.2,0.4,3.4,2.1,0.489,1.7,4.7,0.352,0.537,20.4,0.581,27.0,2.8,1.4,4.2,4.0,30000000.0,23.011363636363633,8.079545454545455,9.102272727272727,1.4318181818181817,1.227272727272727,0.4090909090909091,3.4772727272727266,2.1477272727272725,59.123863636363645,75.5151246818182,False,0.013787112407015651,13.787112407015652,15.0,194.0
Deni Avdija,POR,SF,66.0,33.3,24.2,6.7,1.1,5.8,6.9,0.8,0.6,3.8,2.5,0.462,1.9,6.0,0.318,0.521,20.3,0.6,29.3,3.7,0.6,4.3,3.5,14375000.0,26.162162162162165,7.243243243243244,6.270270270270271,1.1891891891891895,0.864864864864865,0.6486486486486487,4.108108108108109,2.7027027027027026,57.51891891891893,75.48133054054055,False,0.019908366185746203,19.908366185746203,16.0,98.0
Jalen Duren,DET,C,70.0,28.2,19.5,2.0,3.8,6.7,10.5,0.8,0.8,1.9,2.8,0.65,0.0,0.0,0.0,0.65,26.1,0.688,23.6,4.4,0.5,5.0,3.5,6483144.0,24.893617021276597,2.5531914893617023,8.553191489361703,4.851063829787234,1.021276595744681,1.021276595744681,2.425531914893617,3.574468085106383,57.10212765957448,73.82784020425534,False,0.028995281506252465,28.995281506252464,17.0,32.0
Jamal Murray,DEN,PG,75.0,35.4,25.4,7.1,0.4,4.0,4.4,0.9,0.4,2.3,1.7,0.483,3.3,7.5,0.435,0.573,21.8,0.622,27.9,5.5,-1.4,4.1,4.1,46394100.0,25.83050847457627,7.220338983050848,4.067796610169491,0.40677966101694923,0.9152542372881356,0.40677966101694923,2.3389830508474576,1.728813559322034,55.86610169491525,72.72337081271186,False,0.010676837272244399,10.676837272244398,18.0,280.0
Devin Booker,PHO,SG,64.0,33.5,26.1,6.0,0.8,3.1,3.9,0.8,0.3,3.1,2.6,0.456,1.9,5.8,0.33,0.507,20.4,0.585,32.2,3.2,-1.0,2.2,2.3,53142264.0,28.047761194029853,6.447761194029851,3.3313432835820893,0.8597014925373134,0.8597014925373134,0.32238805970149254,3.3313432835820893,2.7940298507462686,55.595820895522394,71.47187356119403,False,0.009804267240505858,9.804267240505858,19.0,308.0
